"","ST","Year","Cluster","Fraction","Num","TotalYearCluster"
"1","0",2002,"0",1,83,83
"2","0",2003,"0",1,121,121
"3","0",2004,"0",0.992,125,124
"4","0",2005,"0",1,134,134
"5","0",2006,"0",0.992125984251969,127,126
"6","0",2007,"0",0.978571428571429,140,137
"7","0",2008,"0",0.981132075471698,159,156
"8","0",2009,"0",0.979166666666667,192,188
"9","0",2010,"0",0.974489795918367,196,191
"10","0",2011,"0",0.963963963963964,222,214
"11","0",2012,"0",0.945848375451264,277,262
"12","0",2013,"0",0.933333333333333,255,238
"13","0",2014,"0",0.932075471698113,265,247
"14","0",2015,"0",0.937293729372937,303,284
"15","0",2016,"0",0.923333333333333,300,277
"16","0",2017,"0",0.940845070422535,355,334
"17","131",2002,"3095",0,83,0
"18","131",2003,"3095",0,121,0
"19","131",2004,"3095",0,125,0
"20","131",2005,"3095",0,134,0
"21","131",2006,"3095",0,127,0
"22","131",2007,"3095",0.00714285714285714,140,1
"23","131",2008,"3095",0.0125786163522013,159,2
"24","131",2009,"3095",0,192,0
"25","131",2010,"3095",0,196,0
"26","131",2011,"3095",0.0045045045045045,222,1
"27","131",2012,"3095",0.0144404332129964,277,4
"28","131",2013,"3095",0.0196078431372549,255,5
"29","131",2014,"3095",0.0113207547169811,265,3
"30","131",2015,"3095",0.0264026402640264,303,8
"31","131",2016,"3095",0.0166666666666667,300,5
"32","131",2017,"3095",0.0112676056338028,355,4
"33","131",2002,"3164",0,83,0
"34","131",2003,"3164",0,121,0
"35","131",2004,"3164",0,125,0
"36","131",2005,"3164",0,134,0
"37","131",2006,"3164",0,127,0
"38","131",2007,"3164",0,140,0
"39","131",2008,"3164",0,159,0
"40","131",2009,"3164",0,192,0
"41","131",2010,"3164",0,196,0
"42","131",2011,"3164",0.00900900900900901,222,2
"43","131",2012,"3164",0.0036101083032491,277,1
"44","131",2013,"3164",0.00784313725490196,255,2
"45","131",2014,"3164",0.00754716981132075,265,2
"46","131",2015,"3164",0,303,0
"47","131",2016,"3164",0.0166666666666667,300,5
"48","131",2017,"3164",0.00845070422535211,355,3
"49","131",2002,"137",0,83,0
"50","131",2003,"137",0,121,0
"51","131",2004,"137",0,125,0
"52","131",2005,"137",0,134,0
